name,star,review,response,review 
STIMPFLING MATHIEU,5 stars,,1,Dentiste sympathique et très professionnel qui a su trouver une solution pour la pose complexe d'une couronne dans ma petite mâchoire et son  assistante est très gentille et accueillante. Super équipe
STIMPFLING MATHIEU,5 stars,,0,"Excellent dentiste, et accueil parfait, et grande gentillesse"
STIMPFLING MATHIEU,5 stars,,0,mon dentiste depuis...30 ans et toujours au petit soin et ingénieux pour trouver des solutions. L'accueil toujours agréable par son assistante !
STIMPFLING MATHIEU,5 stars,,0,"le Dr Stimpfing m'a soigné une parodontite. Dentiste sérieux et professionnel, a l'écoute de ses patients et avec un plus un bon sens de l'humour! Je recommande vivement."
STIMPFLING MATHIEU,5 stars,,0,"Super dentiste , aucune douleur, bon acceuil , je recommande."
STIMPFLING MATHIEU,5 stars,,0,Dentiste au top !! sans oublier l'accueil très chaleureux de son assistante 😁 …
STIMPFLING MATHIEU,5 stars,,0,"Super dentiste, super personne!"
STIMPFLING MATHIEU,5 stars,,0,
STIMPFLING MATHIEU,1 star,,0,
CREPIN LEBLOND CHARLOTTE,5 stars,,0,Un grand MERCI. Grace à vous nous avons pu faire les soins de ma fille. Vous êtes au top ! Vous avez pris le temps et elle a adoré la petite histoire et la course au dauphin.
CREPIN LEBLOND CHARLOTTE,5 stars,,0,"Super dentiste, très pédagogue avec une imagination débordante. Pour ma fille le dentiste c’est ou le docteur Crepin-Leblond ou personne. Je la recommande sans hésiter."
CREPIN LEBLOND CHARLOTTE,5 stars,,0,"L'équipe est douce, souriante, chaleureuse.
L'accompagnement est précis. Nous oublions même que nous sommes dans un cabinet dentaire, résultat : ma fille adore se rendre chez le dentiste."
CREPIN LEBLOND CHARLOTTE,5 stars,,0,"Très bon cabinet, super bonne approche avec les enfants. Mon fil adore y aller, c'est pour dire !"
CREPIN LEBLOND CHARLOTTE,5 stars,,0,"Beau cabinet et très bon accueil.
Le Dr Crepin-Leblond sait mettre à l'aise les enfants et est très pédagogue. Je recommande à 100%"
CREPIN LEBLOND CHARLOTTE,5 stars,,0,"Super dentiste pour enfants, à conseiller sans hésiter : salle d attente, toilettes et cabinet aménagés pour les petits."
CREPIN LEBLOND CHARLOTTE,5 stars,,0,Très professionnel et super avec les enfants..la meilleure pour eux d'ailleurs.  Cabinet nickel
CREPIN LEBLOND CHARLOTTE,5 stars,,0,Elle est très agréable et son cabinet est très mignon. Je vous conseille fortement.
CREPIN LEBLOND CHARLOTTE,5 stars,,0,J'ai enfin trouvé le dentiste de mes enfants.
CREPIN LEBLOND CHARLOTTE,1 star,,0,
HULI RAPHAEL,5 stars,,1,"Absolument satisfaite des différentes prestations réalisées au cabinet.
Que se soit implant, extraction de dents sagesses, traitement de racines ,blanchiment.
Ce n’est pas de la magie mais ça y ressemble!
Très à l’écoute et matériel dernier cris. Docteur patient et sensible à la douleur du patient .J’y retourne à chaque fois sans la boule au ventre. Merci à lui et son assistante!"
HULI RAPHAEL,5 stars,,1,"Excellent dentiste, très pro et patient, qui agit avec douceur et qui prend le temps d'expliquer ce qu'il fait ou va faire. De plus, il est très bien entouré par une équipe souriante et compétente. Je recommande sans aucun souci !!"
HULI RAPHAEL,5 stars,,1,Je ne saurais que trop recommander le Dr. Raphaël Huli ainsi que toute son équipe qui ont fait un travail formidable suite à un grave accident de la route. Vous pouvez y aller les yeux fermés !
HULI RAPHAEL,5 stars,,0,"J ai été opérée d une dent pour une intervention complexe de 2h par le docteur Huli. Le diagnostic, l explication étaient très clairs avec une posture très professionnelle, bienveillante et pédagogue. J ai pu choisir podcast et musique durant l intervention :-) L ambiance était détendue durant l opération et j ai presque passé un bon moment ! M. Huli et son équipe ont montré un professionnalisme, un soin, une attention et une gentillesse sans pareil. Tout s est idéalement passé. Je ne peux que recommander !"
HULI RAPHAEL,5 stars,,0,"Avant d’être un dentiste , ce charmant jeune homme est un super papa , en plus de s’occuper de ses patients avec respect sagesse et professionnalisme, vous serez rassuré , grâce à ce monsieur et son équipe pour ne pas les citer , qui est juste pro , souriant ,et investi dans leur tâche . (Merci à Melanie et ramona 💐🌷) …"
HULI RAPHAEL,5 stars,,0,"Je recommande vivement !
Un vrai plaisir d'avoir une équipe de praticiens professionnels, attentifs et efficaces !"
HULI RAPHAEL,5 stars,,0,"Je recommande vivement cette clinique dentaire speciisée en Orthodontie, implants, ...
Les secrétaires comme l'ensemble des assistantes et les chirurgiens dentistes sont très aimables . Pour ma part, j'ai été suivi par le Docteur Raphaël Huli pour des implants. Un chirurgien dentiste spécialisé trés sympathique, sérieux, qui explique bien les démarches des interventions, n' impose pas le plus coûteux en  proposant différentes alternatives à vos problèmes . Le docteur Huli est un homme avec beaucoup d'empathie, psychologie et ayant tout de même beaucoup d'humour. Un bon suivi et une disponibilité en cas de problème ce qui est un plus!!! Tout c'est parfaitement déroulé pour mes interventions !!! Je fais confiance les yeux fermés au docteur Huli qui est un spécialiste passionné et qui n'est pas expéditif à vouloir juste faire du chiffre !!!
Merci à lui et à son équipe !"
HULI RAPHAEL,5 stars,,0,"Je sors à l’instant du cabinet et je tenais à faire part de mon avis: le docteur était très pédagogue et a pris le temps de bien tout m’expliquer.

L’ensemble du personnel administratif est très sympathique, souriant et sait vous mettre a l’aise.

Merci à Liza pour sa bienveillance."
HULI RAPHAEL,5 stars,,0,"Ils sont tous adorable, secrétaire, assistante, dentiste.
Aux petits soins pour que tout se passe bien, le docteur explique dans le moindre détail tout ce qu'il va faire, c'est très agréable ! Merci a toute l'équipe."
